request_id,run_id,task_id,session_id,sequence_id,session_type,session_id_source,turn_number,turn_number_source,model,stream,path,prefix_hash,full_hash,sequence_root,num_messages,prompt_chars,plas_key,plas_service_cum,plas_priority,ts_request_in,ts_first_byte,ts_last_byte,status_code,prompt_tokens,completion_tokens,cached_tokens,usage_source,stream_chunks,error,response_id,tool_called,e2e_s,ttft_s,itl_s,streamed,gap_s,context_growth_tokens,is_resumption,prefix_seen_before,exact_resend,branch_factor,is_condensation,context_shrink_tokens,fanout,sequence_role,shared_prefix_msgs,shared_prefix_chars,shared_prefix_frac,ts,kv_cache_utilization,queue_depth,running_requests,eviction_events,eviction_events_window,prompt_tokens_total,prompt_tokens_total_delta,generation_tokens_total,generation_tokens_total_delta,prefix_cache_hit_rate,prefix_cache_hit_rate_reported,cached_tokens_total,cached_tokens_total_delta,prefill_recompute_tokens_mean,ttft_server_s_mean,queue_time_s_mean,prefill_time_s_mean,decode_time_s_mean,external_prefix_cache_hit_rate,offload_load_bytes,offload_load_bytes_delta,offload_store_bytes,offload_store_bytes_delta,offload_alloc_failures,offload_alloc_failures_delta,offload_load_time_s,offload_load_time_s_delta,offload_load_ms_per_byte,offload_store_time_s,offload_store_time_s_delta,offload_store_ms_per_byte,engine,hint_hints_received,hint_hints_unknown_req,hint_hints_no_blocks,hint_blocks_willneed,hint_blocks_dontneed,hint_blocks_pageout,hint_blocks_expired,hint_blocks_noop,hint_blocks_resumed,hint_blocks_dead_resurrected,hint_blocks_stolen_dead,hint_blocks_stolen_later,hint_blocks_stolen_soon,hint_apply_seconds,hint_reap_seconds,hint_record_seconds,hint_record_calls,hint_hint_queue_reached,hint_head_resident_probes,hint_head_absent,hint_head_refcnt_zero,hint_dead_included_root,hint_head_protected,hint_resurrect_head,hint_resurrect_tail,hint_shared_run_samples,hint_shared_run_sum,hint_shared_run_min,hint_shared_run_mean,hint_distinct_roots,hint_hash_chain_entries,hint_blocks_from_normal,hint_alloc_normal_after_dead,hint_hinted_inside_shared_run,hint_hint_lag_steps_sum,hint_hint_lag_max,hint_hint_lag_samples,hint_hint_lag_steps_mean,hint_prologue_probe_samples,hint_prologue_run_sum,hint_prologue_resident_sum,hint_prologue_referenced_sum,hint_prologue_first_hole_sum,hint_prologue_run_mean,hint_prologue_resident_mean,hint_prologue_referenced_mean,hint_prologue_first_hole_mean,hint_remote_kv_waiters_sum,hint_inflight_reserved_sum,hint_census_samples,hint_first_miss_probes,hint_first_miss_was_hinted,hint_first_miss_same_seq,hint_first_miss_other_seq,hint_first_miss_unknown_seq,hint_first_miss_hint_age_sum,hint_first_miss_hint_age_mean,hint_record_ms_mean,hint_transfer_samples,hint_transfer_ewma_ms_per_byte,hint_transfer_rtt_static_ms,hint_transfer_rtt_adaptive,proxy_hint_tracked_sequences,proxy_hint_done_hints_sent,proxy_hint_done_no_known_requests,proxy_hint_hint_post_ok,proxy_hint_hint_post_failed,proxy_hint_hint_post_errors,proxy_hint_hint_post_404,proxy_hint_gap_hints_sent,proxy_hint_gap_hint_skipped_cold,proxy_hint_gap_discarded_stale,proxy_hint_tools_learned
1708880d-0556-4e98-9131-c211337b7a4b,2vn_c28,mwaskom__seaborn-2848,mwaskom__seaborn-2848,30c502a4a9d1df42fd38fe33987281dc240e1b5a4b40ff50bc54d55b39ebe902,agentic,header,120,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,30c502a4a9d1df42fd38fe33987281dc240e1b5a4b40ff50bc54d55b39ebe902,30c502a4a9d1df42fd38fe33987281dc240e1b5a4b40ff50bc54d55b39ebe902,2,16385,mwaskom__seaborn-2848,76744,,1786029946.3856883,1786030012.7325377,1786030012.7325377,200,7415.0,1003.0,0.0,response,,,chatcmpl-8c40c6f1d3741d09,think,66.34684944152832,,,False,,,False,True,False,1,False,,1,root,2,16385,1.0,1786029941.386,0.0,0,0,202,0.0,37660600,0.0,2303550,0.0,,,16463040,0.0,,,,,,,,,,,,,,,,,,,vllm,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.14638996217399836,409,0,0,0,0,0,0,0,0,0,0,0,,0,47018,249036,19306,0,0,0,0,,91,30375,30370,27426,30370,-1.1402789171452241,-0.4758944910709033,-0.5870511768789015,-0.4758944910709033,0,346,93,12989,0,0,0,0,0,,0.0069430438340759015,0,0.0,0.0,0,56,,,,,,,,,0,"{""file_editor"": {""ewma_gap_ms"": 26005.3, ""n"": 3787}, ""terminal"": {""ewma_gap_ms"": 1352.8, ""n"": 1890}, ""think"": {""ewma_gap_ms"": 15162.2, ""n"": 958}}"
a04382cf-55d9-46eb-849a-f18fbc766d05,2vn_c28,psf__requests-1963,psf__requests-1963,6a8a6f8ab4010bdb88f9ca312b5f638238ae2aabbcff501b6c0033732a4e8525,agentic,header,125,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,6a8a6f8ab4010bdb88f9ca312b5f638238ae2aabbcff501b6c0033732a4e8525,6a8a6f8ab4010bdb88f9ca312b5f638238ae2aabbcff501b6c0033732a4e8525,2,16095,psf__requests-1963,122554,,1786029946.3904855,1786029994.585449,1786029994.585449,200,7348.0,746.0,4688.0,response,,,chatcmpl-ad262c90c1a83e94,think,48.194963455200195,,,False,,,False,True,False,1,False,,1,root,2,16095,1.0,1786029946.386,0.0,0,0,202,0.0,37660600,0.0,2303550,0.0,,,16463040,0.0,,,,,,,,,,,,,,,,,,,vllm,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.14638996217399836,409,0,0,0,0,0,0,0,0,0,0,0,,0,47018,249036,19306,0,0,0,0,,91,30375,30370,27426,30370,-1.1402789171452241,-0.4758944910709033,-0.5870511768789015,-0.4758944910709033,0,346,93,12989,0,0,0,0,0,,0.0069430438340759015,0,0.0,0.0,0,56,,,,,,,,,0,"{""file_editor"": {""ewma_gap_ms"": 26005.3, ""n"": 3787}, ""terminal"": {""ewma_gap_ms"": 1352.8, ""n"": 1890}, ""think"": {""ewma_gap_ms"": 15162.2, ""n"": 958}}"
ae67c409-33de-4773-a105-bd1ad2d1de75,2vn_c28,pallets__flask-4045,pallets__flask-4045,80f7b9116a5ec64fa5b0f9ec0ca8165504fbb6a3184475e1d7d274326e79cbf0,agentic,header,254,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,80f7b9116a5ec64fa5b0f9ec0ca8165504fbb6a3184475e1d7d274326e79cbf0,80f7b9116a5ec64fa5b0f9ec0ca8165504fbb6a3184475e1d7d274326e79cbf0,2,15630,pallets__flask-4045,100719,,1786029946.4395769,1786029993.4990883,1786029993.4990883,200,7218.0,726.0,4688.0,response,,,chatcmpl-a54d808055e705aa,file_editor,47.05951142311096,,,False,,,False,True,False,1,False,,1,root,2,15630,1.0,1786029946.386,0.0,0,0,202,0.0,37660600,0.0,2303550,0.0,,,16463040,0.0,,,,,,,,,,,,,,,,,,,vllm,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.14638996217399836,409,0,0,0,0,0,0,0,0,0,0,0,,0,47018,249036,19306,0,0,0,0,,91,30375,30370,27426,30370,-1.1402789171452241,-0.4758944910709033,-0.5870511768789015,-0.4758944910709033,0,346,93,12989,0,0,0,0,0,,0.0069430438340759015,0,0.0,0.0,0,56,,,,,,,,,0,"{""file_editor"": {""ewma_gap_ms"": 26005.3, ""n"": 3787}, ""terminal"": {""ewma_gap_ms"": 1352.8, ""n"": 1890}, ""think"": {""ewma_gap_ms"": 15162.2, ""n"": 958}}"
6913b629-fbc7-4780-93f0-fc65607eeefa,2vn_c28,pylint-dev__pylint-6506,pylint-dev__pylint-6506,58a0a8f1b104c8c2a1aada2f047a9f30202e24c4fa02d8030d2c604130bc47e8,agentic,header,135,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,58a0a8f1b104c8c2a1aada2f047a9f30202e24c4fa02d8030d2c604130bc47e8,58a0a8f1b104c8c2a1aada2f047a9f30202e24c4fa02d8030d2c604130bc47e8,2,17191,pylint-dev__pylint-6506,122473,,1786029946.7594547,1786029979.6625187,1786029979.6625187,200,7682.0,454.0,4688.0,response,,,chatcmpl-b5fe0c5716f5c8e5,file_editor,32.903064012527466,,,False,,,False,True,False,1,False,,1,root,2,17191,1.0,1786029946.386,0.0,0,0,202,0.0,37660600,0.0,2303550,0.0,,,16463040,0.0,,,,,,,,,,,,,,,,,,,vllm,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.14638996217399836,409,0,0,0,0,0,0,0,0,0,0,0,,0,47018,249036,19306,0,0,0,0,,91,30375,30370,27426,30370,-1.1402789171452241,-0.4758944910709033,-0.5870511768789015,-0.4758944910709033,0,346,93,12989,0,0,0,0,0,,0.0069430438340759015,0,0.0,0.0,0,56,,,,,,,,,0,"{""file_editor"": {""ewma_gap_ms"": 26005.3, ""n"": 3787}, ""terminal"": {""ewma_gap_ms"": 1352.8, ""n"": 1890}, ""think"": {""ewma_gap_ms"": 15162.2, ""n"": 958}}"
7419a303-3a94-43c3-a1d1-87e161c30fdc,2vn_c28,pylint-dev__pylint-5859,pylint-dev__pylint-5859,a81963ae8de5718c06794c09dc1aa80665637004462c81f06869c80501c21d56,agentic,header,243,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,a81963ae8de5718c06794c09dc1aa80665637004462c81f06869c80501c21d56,a81963ae8de5718c06794c09dc1aa80665637004462c81f06869c80501c21d56,2,16400,pylint-dev__pylint-5859,150551,,1786029946.7809775,1786030005.4605365,1786030005.4605365,200,7495.0,906.0,4704.0,response,,,chatcmpl-a467509efc112955,think,58.679558992385864,,,False,,,False,True,False,1,False,,1,root,2,16400,1.0,1786029946.386,0.0,0,0,202,0.0,37660600,0.0,2303550,0.0,,,16463040,0.0,,,,,,,,,,,,,,,,,,,vllm,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.14638996217399836,409,0,0,0,0,0,0,0,0,0,0,0,,0,47018,249036,19306,0,0,0,0,,91,30375,30370,27426,30370,-1.1402789171452241,-0.4758944910709033,-0.5870511768789015,-0.4758944910709033,0,346,93,12989,0,0,0,0,0,,0.0069430438340759015,0,0.0,0.0,0,56,,,,,,,,,0,"{""file_editor"": {""ewma_gap_ms"": 26005.3, ""n"": 3787}, ""terminal"": {""ewma_gap_ms"": 1352.8, ""n"": 1890}, ""think"": {""ewma_gap_ms"": 15162.2, ""n"": 958}}"
72172d30-94c4-46c2-8cd7-71469a3ccff8,2vn_c28,pydata__xarray-3364,pydata__xarray-3364,29d5f42fd33b69f58bb9aea9678906872040ebdbdc1e243084b009deabe1f343,agentic,header,46,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,29d5f42fd33b69f58bb9aea9678906872040ebdbdc1e243084b009deabe1f343,29d5f42fd33b69f58bb9aea9678906872040ebdbdc1e243084b009deabe1f343,2,16046,pydata__xarray-3364,47894,,1786029946.7820883,1786030025.0484235,1786030025.0484235,200,7301.0,1185.0,4704.0,response,,,chatcmpl-bfeee3506b8c57f5,,78.26633524894714,,,False,,,False,True,False,1,False,,1,root,2,16046,1.0,1786029946.386,0.0,0,0,202,0.0,37660600,0.0,2303550,0.0,,,16463040,0.0,,,,,,,,,,,,,,,,,,,vllm,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.14638996217399836,409,0,0,0,0,0,0,0,0,0,0,0,,0,47018,249036,19306,0,0,0,0,,91,30375,30370,27426,30370,-1.1402789171452241,-0.4758944910709033,-0.5870511768789015,-0.4758944910709033,0,346,93,12989,0,0,0,0,0,,0.0069430438340759015,0,0.0,0.0,0,56,,,,,,,,,0,"{""file_editor"": {""ewma_gap_ms"": 26005.3, ""n"": 3787}, ""terminal"": {""ewma_gap_ms"": 1352.8, ""n"": 1890}, ""think"": {""ewma_gap_ms"": 15162.2, ""n"": 958}}"
1aa0d30c-6ebe-4953-a180-b4c6d8ffca7e,2vn_c28,psf__requests-2148,psf__requests-2148,56eb8e5416bc5a0ffd270331a03bd17806f2490a9ad853e6ce4a24019621d308,agentic,header,48,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,56eb8e5416bc5a0ffd270331a03bd17806f2490a9ad853e6ce4a24019621d308,56eb8e5416bc5a0ffd270331a03bd17806f2490a9ad853e6ce4a24019621d308,2,17762,psf__requests-2148,40687,,1786029946.7834675,1786030003.419502,1786030003.419502,200,7935.0,866.0,4704.0,response,,,chatcmpl-85bba85f3cd01bd4,,56.63603448867798,,,False,,,False,True,False,1,False,,1,root,2,17762,1.0,1786029946.386,0.0,0,0,202,0.0,37660600,0.0,2303550,0.0,,,16463040,0.0,,,,,,,,,,,,,,,,,,,vllm,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.14638996217399836,409,0,0,0,0,0,0,0,0,0,0,0,,0,47018,249036,19306,0,0,0,0,,91,30375,30370,27426,30370,-1.1402789171452241,-0.4758944910709033,-0.5870511768789015,-0.4758944910709033,0,346,93,12989,0,0,0,0,0,,0.0069430438340759015,0,0.0,0.0,0,56,,,,,,,,,0,"{""file_editor"": {""ewma_gap_ms"": 26005.3, ""n"": 3787}, ""terminal"": {""ewma_gap_ms"": 1352.8, ""n"": 1890}, ""think"": {""ewma_gap_ms"": 15162.2, ""n"": 958}}"
0913295a-805a-4c82-8ec5-d8eaeda5061b,2vn_c28,pallets__flask-4992,pallets__flask-4992,fc9d42d43e645e4ef9881b8809e89dc1a34aeb684050aebbaabbb3ff78fc9ee0,agentic,header,207,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,fc9d42d43e645e4ef9881b8809e89dc1a34aeb684050aebbaabbb3ff78fc9ee0,fc9d42d43e645e4ef9881b8809e89dc1a34aeb684050aebbaabbb3ff78fc9ee0,2,16595,pallets__flask-4992,101979,,1786029946.7972536,1786029982.9516468,1786029982.9516468,200,7445.0,515.0,4704.0,response,,,chatcmpl-a9dc199862cf2624,file_editor,36.15439319610596,,,False,,,False,True,False,1,False,,1,root,2,16595,1.0,1786029946.386,0.0,0,0,202,0.0,37660600,0.0,2303550,0.0,,,16463040,0.0,,,,,,,,,,,,,,,,,,,vllm,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.14638996217399836,409,0,0,0,0,0,0,0,0,0,0,0,,0,47018,249036,19306,0,0,0,0,,91,30375,30370,27426,30370,-1.1402789171452241,-0.4758944910709033,-0.5870511768789015,-0.4758944910709033,0,346,93,12989,0,0,0,0,0,,0.0069430438340759015,0,0.0,0.0,0,56,,,,,,,,,0,"{""file_editor"": {""ewma_gap_ms"": 26005.3, ""n"": 3787}, ""terminal"": {""ewma_gap_ms"": 1352.8, ""n"": 1890}, ""think"": {""ewma_gap_ms"": 15162.2, ""n"": 958}}"
41818ce7-82a4-47d1-ba2c-3aa5d694c7ce,2vn_c28,pytest-dev__pytest-11143,pytest-dev__pytest-11143,5e2613091c57f1bc0159cdb9555411835177971d1fdb67e376ebc05524e06ac7,agentic,header,116,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,5e2613091c57f1bc0159cdb9555411835177971d1fdb67e376ebc05524e06ac7,5e2613091c57f1bc0159cdb9555411835177971d1fdb67e376ebc05524e06ac7,2,20774,pytest-dev__pytest-11143,68280,,1786029946.8141663,1786030031.978599,1786030031.978599,200,9000.0,1297.0,4704.0,response,,,chatcmpl-b3fac1cefa14eb4b,think,85.16443276405334,,,False,,,False,True,False,1,False,,1,root,2,20774,1.0,1786029946.386,0.0,0,0,202,0.0,37660600,0.0,2303550,0.0,,,16463040,0.0,,,,,,,,,,,,,,,,,,,vllm,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.14638996217399836,409,0,0,0,0,0,0,0,0,0,0,0,,0,47018,249036,19306,0,0,0,0,,91,30375,30370,27426,30370,-1.1402789171452241,-0.4758944910709033,-0.5870511768789015,-0.4758944910709033,0,346,93,12989,0,0,0,0,0,,0.0069430438340759015,0,0.0,0.0,0,56,,,,,,,,,0,"{""file_editor"": {""ewma_gap_ms"": 26005.3, ""n"": 3787}, ""terminal"": {""ewma_gap_ms"": 1352.8, ""n"": 1890}, ""think"": {""ewma_gap_ms"": 15162.2, ""n"": 958}}"
2c31bca1-401c-4bd7-96cf-ff4c969d485a,2vn_c28,mwaskom__seaborn-3190,mwaskom__seaborn-3190,1acaf03eb09082e3ba0e71f7b27f093b10f3fff4149aebd0cea4dbd92b10c121,agentic,header,89,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,1acaf03eb09082e3ba0e71f7b27f093b10f3fff4149aebd0cea4dbd92b10c121,1acaf03eb09082e3ba0e71f7b27f093b10f3fff4149aebd0cea4dbd92b10c121,2,17299,mwaskom__seaborn-3190,50042,,1786029946.8223083,1786029996.3610957,1786029996.3610957,200,7690.0,779.0,4704.0,response,,,chatcmpl-80ccf44b79b77d9a,,49.53878736495972,,,False,,,False,True,False,1,False,,1,root,2,17299,1.0,1786029946.386,0.0,0,0,202,0.0,37660600,0.0,2303550,0.0,,,16463040,0.0,,,,,,,,,,,,,,,,,,,vllm,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.14638996217399836,409,0,0,0,0,0,0,0,0,0,0,0,,0,47018,249036,19306,0,0,0,0,,91,30375,30370,27426,30370,-1.1402789171452241,-0.4758944910709033,-0.5870511768789015,-0.4758944910709033,0,346,93,12989,0,0,0,0,0,,0.0069430438340759015,0,0.0,0.0,0,56,,,,,,,,,0,"{""file_editor"": {""ewma_gap_ms"": 26005.3, ""n"": 3787}, ""terminal"": {""ewma_gap_ms"": 1352.8, ""n"": 1890}, ""think"": {""ewma_gap_ms"": 15162.2, ""n"": 958}}"
