request_id,run_id,task_id,session_id,sequence_id,session_type,session_id_source,turn_number,turn_number_source,model,stream,path,prefix_hash,full_hash,sequence_root,num_messages,prompt_chars,plas_key,plas_service_cum,plas_priority,ts_request_in,ts_first_byte,ts_last_byte,status_code,prompt_tokens,completion_tokens,cached_tokens,usage_source,stream_chunks,error,response_id,tool_called,e2e_s,ttft_s,itl_s,streamed,gap_s,context_growth_tokens,is_resumption,prefix_seen_before,exact_resend,branch_factor,is_condensation,context_shrink_tokens,fanout,sequence_role,shared_prefix_msgs,shared_prefix_chars,shared_prefix_frac,ts,kv_cache_utilization,queue_depth,running_requests,eviction_events,eviction_events_window,prompt_tokens_total,prompt_tokens_total_delta,generation_tokens_total,generation_tokens_total_delta,prefix_cache_hit_rate,prefix_cache_hit_rate_reported,cached_tokens_total,cached_tokens_total_delta,prefill_recompute_tokens_mean,ttft_server_s_mean,queue_time_s_mean,prefill_time_s_mean,decode_time_s_mean,external_prefix_cache_hit_rate,offload_load_bytes,offload_load_bytes_delta,offload_store_bytes,offload_store_bytes_delta,offload_alloc_failures,offload_alloc_failures_delta,offload_load_time_s,offload_load_time_s_delta,offload_load_ms_per_byte,offload_store_time_s,offload_store_time_s_delta,offload_store_ms_per_byte,engine,hint_hints_received,hint_hints_unknown_req,hint_hints_no_blocks,hint_blocks_willneed,hint_blocks_dontneed,hint_blocks_pageout,hint_blocks_expired,hint_blocks_noop,hint_blocks_resumed,hint_blocks_dead_resurrected,hint_blocks_stolen_dead,hint_blocks_stolen_later,hint_blocks_stolen_soon,hint_apply_seconds,hint_reap_seconds,hint_record_seconds,hint_record_calls,hint_hint_queue_reached,hint_head_resident_probes,hint_head_absent,hint_head_refcnt_zero,hint_dead_included_root,hint_head_protected,hint_resurrect_head,hint_resurrect_tail,hint_shared_run_samples,hint_shared_run_sum,hint_shared_run_min,hint_shared_run_mean,hint_distinct_roots,hint_hash_chain_entries,hint_blocks_from_normal,hint_alloc_normal_after_dead,hint_hinted_inside_shared_run,hint_hint_lag_steps_sum,hint_hint_lag_max,hint_hint_lag_samples,hint_hint_lag_steps_mean,hint_prologue_probe_samples,hint_prologue_run_sum,hint_prologue_resident_sum,hint_prologue_referenced_sum,hint_prologue_first_hole_sum,hint_prologue_run_mean,hint_prologue_resident_mean,hint_prologue_referenced_mean,hint_prologue_first_hole_mean,hint_remote_kv_waiters_sum,hint_inflight_reserved_sum,hint_census_samples,hint_first_miss_probes,hint_first_miss_was_hinted,hint_first_miss_same_seq,hint_first_miss_other_seq,hint_first_miss_unknown_seq,hint_first_miss_hint_age_sum,hint_first_miss_hint_age_mean,hint_record_ms_mean,proxy_hint_tracked_sequences,proxy_hint_done_hints_sent,proxy_hint_done_no_known_requests,proxy_hint_hint_post_ok,proxy_hint_hint_post_failed,proxy_hint_hint_post_errors,proxy_hint_hint_post_404,proxy_hint_gap_hints_sent,proxy_hint_gap_hint_skipped_cold,proxy_hint_gap_discarded_stale,proxy_hint_tools_learned
e213dcb7-61bf-4aa8-84b4-63d11fa7cb01,2gaphint_c64,pydata__xarray-4248,pydata__xarray-4248,6fed2d7f2da2141903c6d7fc12f3a82754e11fc936fb1f166ce1e1d81528c889,agentic,header,71,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,6fed2d7f2da2141903c6d7fc12f3a82754e11fc936fb1f166ce1e1d81528c889,6fed2d7f2da2141903c6d7fc12f3a82754e11fc936fb1f166ce1e1d81528c889,2,16323,pydata__xarray-4248,30672,,1785849432.238056,1785849501.029114,1785849501.029114,200,7432,648,0,response,,,chatcmpl-851840fa1bc75a95,think,68.79105806350708,,,False,,,False,True,False,1,False,,1,root,2,16323,1.0,1785849432.238,0.0,0,0,868,0.0,9130363,0.0,598452,0.0,,,6172336,0.0,,,,,,,150476947456,0.0,430924890112,0.0,,,3.3686383385062224,0.0,,10.693563982404756,0.0,,vllm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,86,12,368,,,,282,13,,"{""file_editor"": {""ewma_gap_ms"": 103.4, ""n"": 1167}, ""task_tracker"": {""ewma_gap_ms"": 147.4, ""n"": 2}, ""terminal"": {""ewma_gap_ms"": 775.9, ""n"": 630}, ""think"": {""ewma_gap_ms"": 203.6, ""n"": 341}}"
5491e2d8-402b-460d-a18f-fc191bda4489,2gaphint_c64,scikit-learn__scikit-learn-10508,scikit-learn__scikit-learn-10508,fd1cbaade3f7b8e2cabad3f62d25114c8e9e6529282cffd966128391a78edd8b,agentic,header,27,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,fd1cbaade3f7b8e2cabad3f62d25114c8e9e6529282cffd966128391a78edd8b,fd1cbaade3f7b8e2cabad3f62d25114c8e9e6529282cffd966128391a78edd8b,2,17156,scikit-learn__scikit-learn-10508,20945,,1785849432.424459,1785849528.8214147,1785849528.8214147,200,7623,1049,4688,response,,,chatcmpl-a36b1235b4627289,think,96.39695572853088,,,False,,,False,True,False,1,False,,1,root,2,17156,1.0,1785849432.238,0.0,0,0,868,0.0,9130363,0.0,598452,0.0,,,6172336,0.0,,,,,,,150476947456,0.0,430924890112,0.0,,,3.3686383385062224,0.0,,10.693563982404756,0.0,,vllm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,86,12,368,,,,282,13,,"{""file_editor"": {""ewma_gap_ms"": 103.4, ""n"": 1167}, ""task_tracker"": {""ewma_gap_ms"": 147.4, ""n"": 2}, ""terminal"": {""ewma_gap_ms"": 775.9, ""n"": 630}, ""think"": {""ewma_gap_ms"": 203.6, ""n"": 341}}"
4204ab45-87ff-47f1-b949-54d037e2d3b6,2gaphint_c64,sympy__sympy-11870,sympy__sympy-11870,a6c9d883281baf12f965ae4d55926019056abcb71fb6382c09b05fef18e3714e,agentic,header,17,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,a6c9d883281baf12f965ae4d55926019056abcb71fb6382c09b05fef18e3714e,a6c9d883281baf12f965ae4d55926019056abcb71fb6382c09b05fef18e3714e,2,15772,sympy__sympy-11870,15023,,1785849432.5237262,1785849539.2977684,1785849539.2977684,200,7292,1154,4688,response,,,chatcmpl-b7fd649b2b20d8cb,think,106.7740421295166,,,False,,,False,True,False,1,False,,1,root,2,15772,1.0,1785849432.238,0.0,0,0,868,0.0,9130363,0.0,598452,0.0,,,6172336,0.0,,,,,,,150476947456,0.0,430924890112,0.0,,,3.3686383385062224,0.0,,10.693563982404756,0.0,,vllm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,86,12,368,,,,282,13,,"{""file_editor"": {""ewma_gap_ms"": 103.4, ""n"": 1167}, ""task_tracker"": {""ewma_gap_ms"": 147.4, ""n"": 2}, ""terminal"": {""ewma_gap_ms"": 775.9, ""n"": 630}, ""think"": {""ewma_gap_ms"": 203.6, ""n"": 341}}"
9a50012f-884d-45d9-b38c-b32bdc7539a5,2gaphint_c64,pytest-dev__pytest-11148,pytest-dev__pytest-11148,59fbbd19449e8444a972f284eae8061de2ef317ef47f9560cd6e57d8b9258bf4,agentic,header,41,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,59fbbd19449e8444a972f284eae8061de2ef317ef47f9560cd6e57d8b9258bf4,59fbbd19449e8444a972f284eae8061de2ef317ef47f9560cd6e57d8b9258bf4,2,18694,pytest-dev__pytest-11148,25471,,1785849432.9189224,1785849522.0020409,1785849522.0020409,200,7934,960,4688,response,,,chatcmpl-94689d7ce0fc9f2c,think,89.0831184387207,,,False,,,False,True,False,1,False,,1,root,2,18694,1.0,1785849432.238,0.0,0,0,868,0.0,9130363,0.0,598452,0.0,,,6172336,0.0,,,,,,,150476947456,0.0,430924890112,0.0,,,3.3686383385062224,0.0,,10.693563982404756,0.0,,vllm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,86,12,368,,,,282,13,,"{""file_editor"": {""ewma_gap_ms"": 103.4, ""n"": 1167}, ""task_tracker"": {""ewma_gap_ms"": 147.4, ""n"": 2}, ""terminal"": {""ewma_gap_ms"": 775.9, ""n"": 630}, ""think"": {""ewma_gap_ms"": 203.6, ""n"": 341}}"
fc54051b-4e03-4125-b752-db0ec2183729,2gaphint_c64,matplotlib__matplotlib-23314,matplotlib__matplotlib-23314,6cccf0ffd2712f3f2af343e7a4057daef5518e6b5ee41854fd9aca4fd46f673f,agentic,header,35,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,6cccf0ffd2712f3f2af343e7a4057daef5518e6b5ee41854fd9aca4fd46f673f,6cccf0ffd2712f3f2af343e7a4057daef5518e6b5ee41854fd9aca4fd46f673f,2,16453,matplotlib__matplotlib-23314,22603,,1785849432.932179,1785849505.5440962,1785849505.5440962,200,7401,716,4688,response,,,chatcmpl-ba09c0aaf7399f1f,think,72.61191725730896,,,False,,,False,True,False,1,False,,1,root,2,16453,1.0,1785849432.238,0.0,0,0,868,0.0,9130363,0.0,598452,0.0,,,6172336,0.0,,,,,,,150476947456,0.0,430924890112,0.0,,,3.3686383385062224,0.0,,10.693563982404756,0.0,,vllm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,86,12,368,,,,282,13,,"{""file_editor"": {""ewma_gap_ms"": 103.4, ""n"": 1167}, ""task_tracker"": {""ewma_gap_ms"": 147.4, ""n"": 2}, ""terminal"": {""ewma_gap_ms"": 775.9, ""n"": 630}, ""think"": {""ewma_gap_ms"": 203.6, ""n"": 341}}"
640dcc76-3400-4985-83cf-91159a5d8a01,2gaphint_c64,psf__requests-863,psf__requests-863,2da0a1d67e964f323120dd5d84a7bef12ae329674ffe4ad194ed41ea6dc60002,agentic,header,22,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,2da0a1d67e964f323120dd5d84a7bef12ae329674ffe4ad194ed41ea6dc60002,2da0a1d67e964f323120dd5d84a7bef12ae329674ffe4ad194ed41ea6dc60002,2,16208,psf__requests-863,13977,,1785849433.2242699,1785849543.8040063,1785849543.8040063,200,7339,1219,4704,response,,,chatcmpl-870e17075306a76e,file_editor,110.57973647117615,,,False,,,False,True,False,1,False,,1,root,2,16208,1.0,1785849432.238,0.0,0,0,868,0.0,9130363,0.0,598452,0.0,,,6172336,0.0,,,,,,,150476947456,0.0,430924890112,0.0,,,3.3686383385062224,0.0,,10.693563982404756,0.0,,vllm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,86,12,368,,,,282,13,,"{""file_editor"": {""ewma_gap_ms"": 103.4, ""n"": 1167}, ""task_tracker"": {""ewma_gap_ms"": 147.4, ""n"": 2}, ""terminal"": {""ewma_gap_ms"": 775.9, ""n"": 630}, ""think"": {""ewma_gap_ms"": 203.6, ""n"": 341}}"
6f6d1dfc-be11-403c-a585-85d344a8886d,2gaphint_c64,sphinx-doc__sphinx-10451,sphinx-doc__sphinx-10451,fa766e529457d27feb78163d291515d2d990dbb6011d37679f710c26961fd2db,agentic,header,43,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,fa766e529457d27feb78163d291515d2d990dbb6011d37679f710c26961fd2db,fa766e529457d27feb78163d291515d2d990dbb6011d37679f710c26961fd2db,2,17258,sphinx-doc__sphinx-10451,24942,,1785849433.2323844,1785849538.6174378,1785849538.6174378,200,7592,1143,4704,response,,,chatcmpl-9689e806f1c6a8b1,think,105.38505339622498,,,False,,,False,True,False,1,False,,1,root,2,17258,1.0,1785849432.238,0.0,0,0,868,0.0,9130363,0.0,598452,0.0,,,6172336,0.0,,,,,,,150476947456,0.0,430924890112,0.0,,,3.3686383385062224,0.0,,10.693563982404756,0.0,,vllm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,86,12,368,,,,282,13,,"{""file_editor"": {""ewma_gap_ms"": 103.4, ""n"": 1167}, ""task_tracker"": {""ewma_gap_ms"": 147.4, ""n"": 2}, ""terminal"": {""ewma_gap_ms"": 775.9, ""n"": 630}, ""think"": {""ewma_gap_ms"": 203.6, ""n"": 341}}"
ba077e1d-b9ac-47bd-8370-5619128212eb,2gaphint_c64,pylint-dev__pylint-5859,pylint-dev__pylint-5859,a81963ae8de5718c06794c09dc1aa80665637004462c81f06869c80501c21d56,agentic,header,63,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,a81963ae8de5718c06794c09dc1aa80665637004462c81f06869c80501c21d56,a81963ae8de5718c06794c09dc1aa80665637004462c81f06869c80501c21d56,2,16400,pylint-dev__pylint-5859,29521,,1785849433.240903,1785849620.8937519,1785849620.8937519,200,7495,1951,4704,response,,,chatcmpl-8d21ee922fd97eb1,think,187.65284895896912,,,False,,,False,True,False,1,False,,1,root,2,16400,1.0,1785849432.238,0.0,0,0,868,0.0,9130363,0.0,598452,0.0,,,6172336,0.0,,,,,,,150476947456,0.0,430924890112,0.0,,,3.3686383385062224,0.0,,10.693563982404756,0.0,,vllm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,86,12,368,,,,282,13,,"{""file_editor"": {""ewma_gap_ms"": 103.4, ""n"": 1167}, ""task_tracker"": {""ewma_gap_ms"": 147.4, ""n"": 2}, ""terminal"": {""ewma_gap_ms"": 775.9, ""n"": 630}, ""think"": {""ewma_gap_ms"": 203.6, ""n"": 341}}"
6b333681-af8c-4428-b154-3d8fe7b720d7,2gaphint_c64,django__django-11019,django__django-11019,76b99724cdbddc222ef4e1615df1d983c303134cb568d10563c7143af80a26a2,agentic,header,41,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,76b99724cdbddc222ef4e1615df1d983c303134cb568d10563c7143af80a26a2,76b99724cdbddc222ef4e1615df1d983c303134cb568d10563c7143af80a26a2,2,17240,django__django-11019,29155,,1785849433.3184714,1785849660.4634898,1785849660.4634898,200,7562,2260,4688,response,,,chatcmpl-aff31194b3c4a613,think,227.1450183391571,,,False,,,False,True,False,1,False,,1,root,2,17240,1.0,1785849432.238,0.0,0,0,868,0.0,9130363,0.0,598452,0.0,,,6172336,0.0,,,,,,,150476947456,0.0,430924890112,0.0,,,3.3686383385062224,0.0,,10.693563982404756,0.0,,vllm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,86,12,368,,,,282,13,,"{""file_editor"": {""ewma_gap_ms"": 103.4, ""n"": 1167}, ""task_tracker"": {""ewma_gap_ms"": 147.4, ""n"": 2}, ""terminal"": {""ewma_gap_ms"": 775.9, ""n"": 630}, ""think"": {""ewma_gap_ms"": 203.6, ""n"": 341}}"
a8aefd8c-638e-4005-8b53-86618621905a,2gaphint_c64,matplotlib__matplotlib-22711,matplotlib__matplotlib-22711,cefd82e30b3f6e19cd27d27f5ec33efe7888ab807e446de406a290deb2683ccd,agentic,header,52,proxy,Qwen/Qwen3-32B-FP8,False,/v1/chat/completions,1d2da6d0569d145a76672d5d42cb581828ec69f47407eb003768aa6c8f9e493d,cefd82e30b3f6e19cd27d27f5ec33efe7888ab807e446de406a290deb2683ccd,cefd82e30b3f6e19cd27d27f5ec33efe7888ab807e446de406a290deb2683ccd,2,19232,matplotlib__matplotlib-22711,27388,,1785849433.4219813,1785849503.040032,1785849503.040032,200,8190,676,4704,response,,,chatcmpl-bbcddb2d5878e634,file_editor,69.61805057525635,,,False,,,False,True,False,1,False,,1,root,2,19232,1.0,1785849432.238,0.0,0,0,868,0.0,9130363,0.0,598452,0.0,,,6172336,0.0,,,,,,,150476947456,0.0,430924890112,0.0,,,3.3686383385062224,0.0,,10.693563982404756,0.0,,vllm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,86,12,368,,,,282,13,,"{""file_editor"": {""ewma_gap_ms"": 103.4, ""n"": 1167}, ""task_tracker"": {""ewma_gap_ms"": 147.4, ""n"": 2}, ""terminal"": {""ewma_gap_ms"": 775.9, ""n"": 630}, ""think"": {""ewma_gap_ms"": 203.6, ""n"": 341}}"
